1777715521.3354912,13.204.106.34,66
1777715525.4104369,35.237.69.59,66
1777715525.5328836,35.237.69.59,66
1777715525.91556,40.119.249.228,66
1777715525.9537401,192.168.29.76,268
1777715525.982964,40.119.249.228,1514
1777715526.0042903,40.119.249.228,1514
1777715526.045633,40.119.249.228,892
1777715526.0632837,192.168.29.76,212
1777715526.0828671,40.119.249.228,105
1777715526.1027207,40.119.249.228,123
1777715526.1585698,192.168.29.76,1024
1777715526.2000992,40.119.249.228,92
1777715526.2230651,40.119.249.228,54
1777715526.2671702,40.119.249.228,459
1777715526.31051,40.119.249.228,96
1777715526.335218,40.119.249.228,54
1777715537.246527,13.204.106.34,54
1777715541.0498195,13.204.106.34,78
1777715541.067359,13.204.106.34,54
1777715541.6981654,3.223.138.246,78
1777715541.7161407,3.223.138.246,54
1777715543.1336267,20.190.146.36,66
1777715543.1744971,192.168.29.76,518
1777715543.195798,20.190.146.36,1514
1777715543.2147746,20.190.146.36,1514
1777715543.2343256,20.190.146.36,1088
1777715543.2900026,20.190.146.36,105
1777715543.3111978,192.168.29.76,346
1777715543.3336983,192.168.29.76,1494
1777715543.3566031,192.168.29.76,1494
1777715543.3796437,192.168.29.76,1494
1777715543.3991408,192.168.29.76,1494
1777715543.4410331,20.190.146.36,54
1777715543.4649496,20.190.146.36,54
1777715543.4886453,20.190.146.36,1514
1777715543.5108943,20.190.146.36,1514
1777715543.555601,20.190.146.36,1514
1777715543.5799098,20.190.146.36,1514
1777715543.6239185,20.190.146.36,1027
1777715563.6980312,192.168.29.76,1494
1777715563.7178452,192.168.29.76,1494
1777715563.7369237,192.168.29.76,1494
1777715563.7605464,192.168.29.76,1494
1777715563.7917666,192.168.29.76,835
1777715563.8200378,20.190.146.36,54
1777715563.8402462,20.190.146.36,54
1777715563.9336607,20.190.146.36,1514
1777715563.9548194,20.190.146.36,2974
1777715563.9971595,20.190.146.36,1514
1777715564.0192409,20.190.146.36,1003
1777715565.9199677,49.44.146.35,66
1777715565.964379,192.168.29.76,271
1777715565.9855318,49.44.146.35,54
1777715566.0108473,49.44.146.35,1514
1777715566.0324514,49.44.146.35,1514
1777715566.0585768,49.44.146.35,1230
1777715566.0774655,49.44.146.35,1514
